Timestamp,close,high,low,open,volume
1401215645,561.8400,561.9300,561.6900,561.8369,1800
1401215703,561.6900,561.8390,561.6900,561.8200,2400
1401215783,561.2700,561.4200,561.2700,561.4100,800
1401215834,561.3600,561.4400,561.3101,561.4400,1500
1401215883,561.5699,561.5999,561.4750,561.5999,1700
1401215977,561.5000,561.5000,561.3500,561.5000,2000
1401216004,561.6200,561.6200,561.3300,561.4900,2100
1401216069,561.4200,561.6300,561.3800,561.5900,2900
1401216122,561.3300,561.4800,561.2600,561.4800,6400
1401216193,561.5799,561.5799,561.4150,561.4150,1300
1401216257,561.4150,561.6600,561.4000,561.5000,3400
1401216304,561.4200,561.4200,561.4200,561.4200,400
1401216363,561.4600,561.4800,561.3600,561.4180,2000
1401216468,561.4500,561.5020,561.4500,561.5020,1100
1401216488,561.5700,561.5700,561.4200,561.4200,1000
1401216551,561.4200,561.4800,561.4200,561.4310,2200
1401216628,561.5500,561.6500,561.5000,561.5200,2100
1401216664,561.7500,561.9500,561.6100,561.6800,2800
1401216776,562.1300,562.1500,561.6500,561.7100,4000
1401216780,561.7200,562.0400,561.7200,561.9900,4200
1401216840,561.8850,562.0100,561.6900,561.7620,3600
1401216903,561.7150,562.1900,561.7150,562.1900,1500
1401217008,561.9600,561.9600,561.9600,561.9600,100
1401217022,561.7750,561.9700,561.7000,561.9700,2800
1401217091,562.0000,562.0700,561.8800,561.8900,1700
1401217148,561.9999,562.0000,561.9999,562.0000,700
1401217204,562.0100,562.0700,562.0000,562.0000,2000
1401217317,562.0000,562.1020,562.0000,562.0400,1800
1401217320,561.9900,562.1100,561.9900,562.1100,1400
1401217383,562.1950,562.2500,561.9600,562.0000,2800
1401217442,562.3400,562.3580,562.1600,562.2000,2200
1401217513,562.2600,562.2600,562.0600,562.1300,800
1401217562,562.0500,562.0500,561.9000,562.0400,1200
1401217621,561.9001,562.1300,561.9001,562.0800,1300
1401217693,562.1500,562.1500,562.0700,562.0700,300
1401217744,562.1300,562.1700,562.0700,562.1600,1100
1401217805,562.0300,562.0500,562.0200,562.0500,1000
1401217860,562.1900,562.1900,562.0200,562.0300,2500
1401217939,562.1300,562.1800,562.0270,562.0270,1200
1401217989,562.2700,562.2700,562.0800,562.1050,2200
1401218085,562.4800,562.4800,562.3000,562.3000,500
1401218105,562.7500,562.7500,562.5200,562.5200,1400
1401218161,563.6800,563.6800,562.6500,562.6600,19500
1401218222,563.2500,563.6000,562.9650,563.5400,13300
1401218281,563.1100,563.2150,563.0800,563.2150,1400
1401218340,563.3000,563.3000,563.0600,563.1100,2300
1401218405,562.7709,563.3200,562.7709,563.0800,4600
1401218461,563.1300,563.1300,562.8300,563.0300,1900
1401218521,563.4200,563.4200,563.1000,563.1000,3100
1401218581,562.9000,563.2800,562.8400,563.2800,6800
1401218641,563.3200,563.3200,563.0700,563.0700,2700
1401218708,563.1500,563.3500,563.1400,563.3100,3400
1401218760,562.9500,563.2100,562.9500,563.2100,4700
1401218820,562.9800,563.1400,562.9200,562.9500,9300
1401218883,562.9200,563.1000,562.8900,562.9400,7500
1401218956,562.9450,562.9600,562.9400,562.9600,1100
1401219000,562.9500,563.0080,562.9400,563.0000,2100
1401219067,563.0800,563.1100,562.9500,562.9700,2800
1401219127,562.7601,563.0100,562.7601,563.0000,5500
1401219184,562.7100,562.9500,562.6800,562.9500,4600
1401219242,562.7100,562.7200,562.6600,562.6600,7700
1401219300,562.8300,562.9000,562.7000,562.7000,3000
1401219361,562.9500,563.0500,562.8300,562.8800,1500
1401219478,563.1000,563.1000,562.8000,562.9500,3100
1401219480,563.0400,563.1800,562.9100,563.0958,8000
1401219544,563.1000,563.2000,563.0801,563.1500,2200
1401219600,563.3000,563.5200,563.2700,563.3199,4200
1401219670,563.4400,563.4450,563.3000,563.3200,5600
1401219725,563.4900,563.6300,563.4000,563.4900,2700
